Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
230000,2.0446215,22.767441860465116,-2.4657028,-3.7717598482619885,-3.7717598482619885,1.0
231000,2.0256655,19.4,-2.755888,-4.272758603096008,-4.272758603096008,1.0
232000,2.031308,22.075,-2.8404095,-4.777729940414429,-4.777729940414429,1.0
233000,2.0391006,22.238095238095237,-2.5079672,-3.8971066707518043,-3.8971066707518043,1.0
234000,2.050698,20.711111111111112,-2.4777126,-3.3012311539866706,-3.3012311539866706,1.0
235000,2.0450802,19.804878048780488,-2.542583,-3.88921442898837,-3.88921442898837,1.0
236000,2.0442846,20.369565217391305,-2.638144,-3.8827248134396295,-3.8827248134396295,1.0
237000,2.029399,20.25,-2.5859158,-3.633716748981941,-3.633716748981941,1.0
238000,2.0236108,18.866666666666667,-2.6683772,-3.9371776390582958,-3.9371776390582958,1.0
239000,2.0336387,21.075,-2.6029673,-4.24344686771694,-4.24344686771694,1.0
240000,2.0236132,19.488372093023255,-2.625937,-3.7534642746282176,-3.7534642746282176,1.0
241000,2.0313745,18.795454545454547,-2.6542683,-3.9652065594991046,-3.9652065594991046,1.0
242000,2.0256608,18.43243243243243,-2.580622,-3.6702575934560677,-3.6702575934560677,1.0
243000,2.0411835,27.583333333333332,-2.4922361,-4.022749266203712,-4.022749266203712,1.0
244000,2.0309248,23.18918918918919,-2.3887503,-3.6201826011812366,-3.6201826011812366,1.0
245000,2.0448334,18.857142857142858,-2.569463,-3.9617505267608997,-3.9617505267608997,1.0
246000,2.0381079,46.35897435897436,-2.5601792,-4.026694644529086,-4.026694644529086,1.0
247000,2.0362234,23.5,-2.4247499,-3.9554330844145555,-3.9554330844145555,1.0
248000,2.0418854,17.772727272727273,-2.8087392,-4.172371126711369,-4.172371126711369,1.0
249000,2.0403001,21.555555555555557,-2.6120036,-4.036590337753296,-4.036590337753296,1.0
250000,2.042966,25.416666666666668,-2.3225744,-4.130604220761193,-4.130604220761193,1.0
